content,score,at,userName,sentiment,text_clean,text_StopWord,text_stemmed
"Masih kurang, di aplikasi cerah padahal lagi hujan lebat. Begitu sebaliknya. Tolong di perbaiki",3,2024-12-01 14:12:42,Pengguna Google,Netral,masih kurang di aplikasi cerah padahal lagi hujan lebat begitu sebaliknya tolong di perbaiki,aplikasi cerah hujan lebat tolong perbaiki,aplikasi cerah hujan lebat tolong perbaiki
Lebih akurat aplikasi bawaan hape saya🤣,1,2024-11-30 14:41:43,Pengguna Google,Negatif,lebih akurat aplikasi bawaan hape saya,akurat aplikasi bawaan hape,akurat aplikasi bawaan hape
"Setelah update, aplikasi jadi sulit dibuka. Seperti berat, tidak seperti sebelumnya.",4,2024-11-29 17:30:08,Pengguna Google,Positif,setelah update aplikasi jadi sulit dibuka seperti berat tidak seperti sebelumnya,update aplikasi sulit dibuka berat,updat aplikasi sulit dibuka berat
Lengkap,5,2024-11-26 17:15:12,Pengguna Google,Positif,lengkap,lengkap,lengkap
"Aplikasinya sudah bagus, tapi lebih bagus lagi dibikin juga dong widget nya",5,2024-11-26 15:11:10,Pengguna Google,Positif,aplikasinya sudah bagus tapi lebih bagus lagi dibikin juga dong widget nya,aplikasinya bagus bagus dibikin widget nya,aplikasinya bagu bagu dibikin widget nya
"Aplikasinya kurang memprediksi cuaca, saya sangat kecewa atas hal ini.",1,2024-11-26 08:36:04,Pengguna Google,Negatif,aplikasinya kurang memprediksi cuaca saya sangat kecewa atas hal ini,aplikasinya memprediksi cuaca kecewa,aplikasinya memprediksi cuaca kecewa
"Prediksi cuaca ga pernah akurat, BMKG bagaimana iniiiii?",1,2024-11-25 17:51:51,Pengguna Google,Negatif,prediksi cuaca ga pernah akurat bmkg bagaimana iniiiii,prediksi cuaca ga akurat bmkg iniiiii,prediksi cuaca ga akurat bmkg iniiiii
Aplikasinya sangat bagus sekali dan cocok untuk melihat ramalan cuaca di Jawa Timur.,5,2024-11-25 12:10:28,Pengguna Google,Positif,aplikasinya sangat bagus sekali dan cocok untuk melihat ramalan cuaca di jawa timur,aplikasinya bagus cocok ramalan cuaca jawa timur,aplikasinya bagu cocok ramalan cuaca jawa timur
Apk nya bagus dan sangat membantu sekali,5,2024-11-25 12:06:55,Pengguna Google,Positif,apk nya bagus dan sangat membantu sekali,apk nya bagus membantu,apk nya bagu membantu
"Prediksi cuaca 100% gk ada yang akurat, 🤣 aplikasi bodong.",1,2024-11-25 11:36:37,Pengguna Google,Negatif,prediksi cuaca  gk ada yang akurat  aplikasi bodong,prediksi cuaca gk akurat aplikasi bodong,prediksi cuaca gk akurat aplikasi bodong
Terbaik,5,2024-11-25 02:21:50,Pengguna Google,Positif,terbaik,terbaik,terbaik
Ok,5,2024-11-24 14:00:28,Pengguna Google,Positif,ok,ok,ok
"Mohon maaf BMKG sebelumnya, bahwa di radar untuk Daerah Istimewa Yogyakarta itu masih bermasalah hanya berhenti di jam 12.53 saja dari tanggal 23 Nov 2024 setelahnya atau jam berikutnya tidak ada lagi mohon di perbaiki Terimakasih",5,2024-11-24 06:13:09,Pengguna Google,Positif,mohon maaf bmkg sebelumnya bahwa di radar untuk daerah istimewa yogyakarta itu masih bermasalah hanya berhenti di jam  saja dari tanggal  nov  setelahnya atau jam berikutnya tidak ada lagi mohon di perbaiki terimakasih,mohon maaf bmkg radar daerah istimewa yogyakarta bermasalah berhenti jam tanggal nov setelahnya jam mohon perbaiki terimakasih,mohon maaf bmkg radar daerah istimewa yogyakarta bermasalah berhenti jam tanggal nov setelahnya jam mohon perbaiki terimakasih
